🕘️更新时间,#genre#
2026-03-17 22:18:11,http://115.210.130.50:8001/rtp/233.50.202.26:5140

🎥咪咕直播,#genre#

🏀体育频道,#genre#
睛彩竞技,http://115.210.130.50:8001/rtp/233.50.202.26:5140
睛彩竞技,http://www.liangcl.top:8686/rtp/233.50.202.26:5140
睛彩竞技,http://xnnas.com:4023/rtp/233.50.202.26:5140
睛彩竞技,http://tvh.sotv.net:8001/rtp/233.50.202.26:5140
睛彩竞技,http://www.negative.top:50000/rtp/233.50.202.26:5140
睛彩竞技,http://s3.negative.video:50000/rtp/233.50.202.26:5140
睛彩竞技,http://www.tangtuanpp.fun:4000/rtp/233.50.202.26:5140
睛彩竞技,http://zjhuct.icu:8881/rtp/233.50.201.26:5140
睛彩羽毛球,http://115.210.130.50:8001/rtp/233.50.202.28:5140
睛彩羽毛球,http://xnnas.com:4023/rtp/233.50.202.28:5140
睛彩羽毛球,http://s3.negative.video:50000/rtp/233.50.202.28:5140
睛彩羽毛球,http://www.negative.top:50000/rtp/233.50.202.28:5140
睛彩羽毛球,http://www.liangcl.top:8686/rtp/233.50.202.28:5140
睛彩羽毛球,http://tvh.sotv.net:8001/rtp/233.50.202.28:5140
睛彩羽毛球,http://www.tangtuanpp.fun:4000/rtp/233.50.202.28:5140
睛彩羽毛球,http://zjhuct.icu:8881/rtp/233.50.201.28:5140
睛彩广场舞,http://s3.negative.video:50000/rtp/233.50.202.29:5140
睛彩广场舞,http://tvh.sotv.net:8001/rtp/233.50.202.29:5140
睛彩广场舞,http://www.liangcl.top:8686/rtp/233.50.202.29:5140
睛彩广场舞,http://www.negative.top:50000/rtp/233.50.202.29:5140
睛彩广场舞,http://xnnas.com:4023/rtp/233.50.202.29:5140
睛彩广场舞,http://www.tangtuanpp.fun:4000/rtp/233.50.202.29:5140
睛彩广场舞,http://zjhuct.icu:8881/rtp/233.50.201.29:5140
睛彩篮球,http://www.liangcl.top:8686/rtp/233.50.202.27:5140
睛彩篮球,http://115.210.130.50:8001/rtp/233.50.202.27:5140
睛彩篮球,http://tvh.sotv.net:8001/rtp/233.50.202.27:5140
睛彩篮球,http://xnnas.com:4023/rtp/233.50.202.27:5140
睛彩篮球,http://www.tangtuanpp.fun:4000/rtp/233.50.202.27:5140
睛彩篮球,http://s3.negative.video:50000/rtp/233.50.202.27:5140
睛彩篮球,http://www.negative.top:50000/rtp/233.50.202.27:5140
睛彩篮球,http://zjhuct.icu:8881/rtp/233.50.201.27:5140
CDTV5,http://183.222.15.202:4321/rtp/239.10.0.15:5140
CDTV5,http://183.220.20.17:4321/rtp/239.10.0.15:5140
CDTV5,http://112.19.88.97:8899/rtp/239.10.0.15:5140
CDTV5,http://www.cckj.pw:8899/rtp/239.10.0.15:5140
CDTV5,http://183.220.107.138:4022/rtp/239.10.0.15:5140
CDTV5,http://nas.201606.xyz:4022/rtp/239.10.0.15:5140
CDTV5,http://aecop43ptvea6epk.0kkkkkt.com:4022/rtp/239.10.0.15:5140
CDTV5,http://hhska.3322.org:8096/rtp/239.93.1.231:5140
五星体育,http://youngx.top:4022/rtp/233.18.204.58:5140
五星体育,http://woshiysy1.synology.me:4999/rtp/233.18.204.58:5140
五星体育,http://www.wjyu.top:4022/rtp/233.18.204.58:5140
五星体育,http://yyf1991.top:9999/rtp/233.18.204.58:5140
五星体育,http://yanshifen.top:8889/rtp/239.253.43.119:5146
五星体育,http://www.guangyuan.site:8188/rtp/239.253.43.119:5146
五星体育,http://ip.laosiji.space:5555/rtp/233.18.204.58:5140
五星体育,http://ysf620.f3322.net:8889/rtp/239.253.43.119:5146
五星体育,http://wmh.wmh.ink:6633/rtp/239.253.43.119:5146
广东体育,http://ysf620.f3322.net:8889/rtp/239.77.0.112:5146
广东体育,http://www.guangyuan.site:8188/rtp/239.77.0.168:5146
广东体育,http://www.888609.xyz:45213/rtp/239.0.1.49:5004
广东体育,http://888609.xyz:45213/rtp/239.0.1.49:5004
广东体育,http://wmh.wmh.ink:6633/rtp/239.77.0.112:5146
深圳体育,http://www.maomizi.cn:9523/rtp/239.77.1.128:5146
深圳体育,http://yanshifen.top:8889/rtp/239.77.1.128:5146
深圳体育,http://ysf620.f3322.net:8889/rtp/239.77.1.128:5146
深圳体育,http://www.hongzhijiaoyu.net:8188/rtp/239.77.1.128:5146
深圳体育,http://wmh.wmh.ink:6633/rtp/239.77.1.128:5146
山东体育,http://122.5.98.97:17923/rtp/239.21.1.141:5002
山东体育,http://119.180.53.11:8888/rtp/239.253.248.22:8000
山东体育,http://113.120.108.132:4000/rtp/239.21.1.141:5002
山东体育,http://www.niuin.com:4022/rtp/239.21.1.141:5002
山东体育,http://123.168.210.194:6777/rtp/239.21.1.141:5002
山东体育,http://182.37.41.46:8154/tsfile/live/1000_1.m3u8?key=txiptv
山东体育,http://124.131.45.137:7000/rtp/239.253.248.22:8000
山东体育,http://xiaole51.3322.org:7000/rtp/239.253.248.22:8000
山东体育,http://sunny2017.xyz:7788/rtp/239.21.1.141:5002
山东体育,http://rujia.9966.org:7005/rtp/239.21.1.141:5002
天津体育,http://home.techua.net:8000/rtp/225.1.1.122:5002
天津体育,http://home.techua.cn:8000/rtp/225.1.1.122:5002
天津体育,http://upload.home.hanxucloud.cn:4022/rtp/225.1.1.122:5002
天津体育,http://mail.hanxucloud.cn:4022/rtp/225.1.1.122:5002
天津体育,http://web.hanxucloud.com:4022/rtp/225.1.1.122:5002
天津体育,http://60.30.67.44:8834/rtp/225.1.1.122:5002
天津体育,http://60.30.67.45:8834/rtp/225.1.1.122:5002
杭州青少,http://www.negative.top:50000/rtp/233.50.201.177:5140
江苏体育,http://www.sclvip.top:5566/rtp/239.49.8.117:8000
江苏体育,http://dx.joygala.cn:8118/rtp/239.49.8.117:8000
江苏体育,http://kouki.pro:8888/rtp/239.49.8.117:8000
江苏体育,http://foreveryyl.top:8001/rtp/239.49.8.117:8000
江苏体育,http://dentist.dsmv.top:7777/rtp/239.49.8.117:8000
武汉文体,http://laopo995mz.gicp.net:88/rtp/239.69.1.147:10518
武汉文体,http://miptv.de5.net:8188/rtp/239.69.1.147:10518
武汉文体,http://nas.lyfkai.cn:19999/rtp/239.69.1.147:10518
武汉文体,http://hiliu.myds.me:18088/rtp/239.69.1.147:10518
辽宁体育,http://fuxin.yunjifei.top:999/tsfile/live/1003_1.m3u8?key=txiptv
辽宁体育,http://www.vipcoolufo.com:4022/rtp/232.0.0.3:8540
辽宁体育,http://vipcoolufo.com:4022/rtp/232.0.0.3:8540
CCTV-5+,http://107.150.60.122/live/cctv5p.m3u8
风云足球,http://38.75.136.137:98/gslb/dsdqpub/fyzq.m3u8?auth=testpub

📺央视频道,#genre#
CCTV-5,http://156.238.248.80:8880/play/5.m3u8
CCTV-5,http://74.91.26.218:82/live/cctv5hd.m3u8
CCTV-5,http://38.75.136.137:98/gslb/dsdqpub/cctv5hd.m3u8?auth=testpub
CCTV-5,http://218.17.33.178:53290/tsfile/live/1017_1.m3u8?key=txiptv
CCTV-5,http://124.88.238.50:82/hls/5/index.m3u8
CCTV-5,http://free.cnlive.club/channel/47c9f401.m3u8
CCTV-5,http://60.13.52.236:65500/newlive/live/hls/5/live.m3u8
CCTV-5,http://hczn.x3322.net:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://nn.7x9d.cn/xzc2.php?ua=TW96aWxsYS81LjAgKFdpbmRvd3MgTlQgNi4xOyBXaW42NDsgeDY0KSBBcHBsZVdlYktpdC81MzcuMzYgKEtIVE1MLCBsaWtlIEdlY2tvKSBDaHJvbWUvMTA2LjAuMC4wIFNhZmFyaS81MzcuMzY=&hls=aHR0cDovL3R2dGouanh3bHR4LmNvbTo4MDAzL2NjdHY1Lm0zdTg=
CCTV-5,http://111.221.137.234:44330/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-5+,http://38.75.136.137:98/gslb/dsdqbv/cctv5p.m3u8?auth=test20251009
CCTV-5+,http://156.238.248.80:8880/play/6.m3u8
CCTV-5+,http://218.17.33.178:53290/tsfile/live/1005_1.m3u8?key=txiptv
CCTV-8,http://38.75.136.137:98/gslb/dsdqbv/cctv8hd.m3u8?auth=test20251009
CCTV-9,http://38.75.136.137:98/gslb/dsdqbv/cctv9hd.m3u8?auth=test20251009
CCTV-10,http://38.75.136.137:98/gslb/dsdqbv/cctv10hd.m3u8?auth=test20251009
CCTV-11,http://38.75.136.137:98/gslb/dsdqbv/cctv11hd.m3u8?auth=test20251009
CCTV-13,http://38.75.136.137:98/gslb/dsdqbv/cctv13hd.m3u8?auth=test20251009
CCTV-14,http://38.75.136.137:98/gslb/dsdqbv/cctv14hd.m3u8?auth=test20251009
CCTV-16,http://38.75.136.137:98/gslb/dsdqbv/cctv16hd.m3u8?auth=test20251009

💰央视付费频道,#genre#
风云音乐,http://171.83.103.119:9999/rtp/239.69.1.90:10180
怀旧剧场,http://171.83.103.119:9999/rtp/239.69.1.86:10156
风云足球,http://61.184.46.85:9901/tsfile/live/1020_1.m3u8
电视指南,http://171.83.103.119:9999/rtp/239.69.1.87:10162
兵器科技,http://171.83.103.119:9999/rtp/239.69.1.79:10114

📡卫视频道,#genre#
东方卫视,http://38.75.136.137:98/gslb/dsdqbv/dfwshd.m3u8?auth=test20251009
湖南卫视,http://satellitepull.cnr.cn/live/wx32hunws/playlist.m3u8
湖南卫视,http://38.75.136.137:98/gslb/dsdqbv/hnwshd.m3u8?auth=test20251009
湖南卫视,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/dWlwPTEyNy4wLjAuMSZ1aWQ9cWluZy1jbXMmbm5fdGltZXpvbmU9OCZjZG5leF9pZD1hbF9obHNfbGR2dCZ1dWlkPTliODY4NmU5ZTM2YzYwMmMmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8
北京卫视,http://38.75.136.137:98/gslb/dsdqbv/bjwshd.m3u8?auth=test20251009
北京卫视,http://satellitepull.cnr.cn/live/wxbtv/playlist.m3u8
湖北卫视,http://38.75.136.137:98/gslb/dsdqpub/hbwshd.m3u8?auth=testpub
安徽卫视,http://38.75.136.137:98/gslb/dsdqpub/ahwshd.m3u8?auth=testpub
重庆卫视,http://107.150.60.122/live/cqwshd.m3u8
东南卫视,http://satellitepull.cnr.cn/live/wx32fjws/playlist.m3u8
甘肃卫视,http://satellitepull.cnr.cn/live/wxgsws/playlist.m3u8
广西卫视,http://107.150.60.122/live/gxwshd.m3u8
河南卫视,http://satellitepull.cnr.cn/live/wxhnws/playlist.m3u8
吉林卫视,http://38.75.136.137:98/gslb/dsdqpub/jlwshd.m3u8?auth=testpub
广东卫视,http://satellitepull.cnr.cn/live/wxgdws/playlist.m3u8
